seed,season,n,mae,spearman
1,2019,506,3.3585101079416626,0.11766343145746726
1,2020,513,3.599253113427941,0.08627706018545311
1,2022,540,3.556112561270079,0.0033942118681133805
1,2023,537,3.6152032878144884,0.08590507254214581
1,2024,542,3.7517084386417943,0.11528448072170006
1,2025,536,3.698338704321235,0.10597768328725857
2,2019,506,3.3341059842294354,0.16419330058304307
2,2020,513,3.488368461069162,0.1887329738396499
2,2022,540,3.5757641139308185,0.002386753421780659
2,2023,537,3.5815972984785125,0.10978213037649881
2,2024,542,3.8100991530211474,0.06851812443554876
2,2025,536,3.6863306560167133,0.15309693624574164
3,2019,506,3.342457004362931,0.12298929745634855
3,2020,513,3.568291599500934,0.15351899836350485
3,2022,540,3.618753529269946,-0.04311297837841475
3,2023,537,3.6363123548115572,0.09096172613334573
3,2024,542,3.80906049424714,0.04789492964667398
3,2025,536,3.729252759183211,0.14283826360429777
