model,mae,rmse,spearman,top5_hit,games
ridge,3.491945608452428,4.389590197183369,0.13677325655778322,0.20952406352457564,3676.0
old_model_shape,3.4977945024797736,4.387163437649078,0.06635856426273601,0.20970168626028576,3676.0
naive_league_mean,3.500764989697844,4.399746785656332,,0.1512383807349563,3676.0
naive_kicker_career,3.5676353027512238,4.470632049362428,0.0678787493601897,0.2078874095884273,3676.0
gbm,3.586771026433862,4.519127724977217,0.08083855672364249,0.15914730418826942,3676.0
gbm_tweedie,3.5886194523836137,4.5543097784917235,0.08868907787843784,0.18357763127013593,3676.0
naive_kicker_last8,3.6729021459619693,4.610325685555431,0.06465078160525806,0.19991341113884797,3676.0
