player_id,player_display_name,team,opponent,is_home,implied_total,total_line,team_spread,is_indoor_certain,game_id,exp_points,median_points,floor_p20,ceiling_p90,p_ge_8,p_ge_10,p_ge_12,p_ge_15,exp_fg_att,exp_pat_att,last_seen_week,stale_weeks,season,week,rank_points,rank_ceiling
00-0037224,C.Dicker,LAC,LV,1,25.0,43.5,6.5,0,2026_02_LV_LAC,9.584971573849721,9.0,5.0,15.0,0.62275,0.453,0.289,0.12475,2.2091363758189253,2.468624025040095,1,1,2026,2,1,4
00-0032726,K.Fairbairn,HOU,CIN,1,24.0,45.5,2.5,0,2026_02_CIN_HOU,9.515635734499106,9.0,5.0,15.0,0.63,0.45375,0.29,0.117,2.120841789215749,2.672003871106129,1,1,2026,2,2,7
00-0039498,H.Mevis,LA,NYG,1,27.75,48.5,7.0,0,2026_02_NYG_LA,9.452478160821105,9.0,5.0,15.0,0.62,0.45375,0.284,0.11875,1.9219104397086832,3.2086925693755113,1,1,2026,2,3,5
00-0040899,T.Smack,GB,NYJ,0,24.0,44.5,3.5,0,2026_02_GB_NYJ,9.418200319638174,8.0,5.0,14.0,0.576,0.415,0.246,0.088,1.9987475420911218,2.584495385347527,1,1,2026,2,4,18
00-0037692,B.Aubrey,DAL,WAS,1,27.0,50.5,3.5,0,2026_02_WAS_DAL,9.407071257029852,9.0,5.0,15.0,0.63575,0.47125,0.30475,0.12725,2.049972108429228,2.8594845321345628,1,1,2026,2,5,3
00-0031492,J.Myers,SEA,ARI,0,22.0,40.5,3.5,0,2026_02_SEA_ARI,9.260076506093556,9.0,5.0,15.0,0.633,0.4735,0.3075,0.13925,2.2330528510477308,2.396601811391956,1,1,2026,2,6,1
00-0033303,H.Butker,KC,IND,1,26.5,46.5,6.5,0,2026_02_IND_KC,9.136223226013312,9.0,5.0,15.0,0.61525,0.44175,0.282,0.11425,2.064470135961307,2.729158914485571,1,1,2026,2,7,8
00-0034173,E.Pineiro,SF,MIA,1,29.0,44.5,13.5,0,2026_02_MIA_SF,9.060771415286252,9.0,5.0,15.0,0.6155,0.4435,0.27275,0.10475,1.928045219623431,3.0551897186245167,1,1,2026,2,8,12
00-0035358,C.McLaughlin,TB,CLE,1,25.0,41.5,8.5,0,2026_02_CLE_TB,8.99686319023821,9.0,5.0,15.0,0.6275,0.45875,0.28925,0.13325,2.1481903131584024,2.5595603549204515,1,1,2026,2,9,2
00-0040074,T.Loop,BAL,NO,1,27.5,46.5,8.5,0,2026_02_NO_BAL,8.879885051897034,9.0,5.0,15.0,0.6215,0.45325,0.285,0.118,2.0200992438717082,2.9499666707869037,1,1,2026,2,10,6
00-0040279,R.Fitzgerald,CAR,ATL,0,23.0,43.5,2.5,0,2026_02_CAR_ATL,8.779045351937638,8.0,5.0,14.0,0.56875,0.396,0.24325,0.09425,2.0406594323855827,2.310642851778556,1,1,2026,2,11,14
00-0036854,E.McPherson,CIN,HOU,0,21.5,45.5,-2.5,0,2026_02_CIN_HOU,8.689822419807392,8.0,4.0,14.0,0.55725,0.38575,0.23325,0.0925,2.008497624721643,2.292487772323745,1,1,2026,2,12,15
00-0031203,C.Santos,CHI,MIN,1,26.5,48.5,4.5,0,2026_02_MIN_CHI,8.595124248023684,9.0,5.0,15.0,0.5825,0.43525,0.263,0.1065,1.9420593759692852,2.9087047957592844,1,1,2026,2,13,10
00-0034794,J.Sanders,NYJ,GB,1,20.5,44.5,-3.5,0,2026_02_GB_NYJ,8.578399514107476,8.0,5.0,15.0,0.58275,0.40975,0.25825,0.10275,2.130307057705557,2.0668865132287753,1,1,2026,2,14,13
00-0032569,W.Lutz,DEN,JAX,1,24.0,45.5,2.5,0,2026_02_JAX_DEN,8.469687232790521,9.0,5.0,15.0,0.60975,0.4445,0.2775,0.1135,2.0888145893961942,2.4736443164049113,1,1,2026,2,15,9
00-0033787,J.Elliott,PHI,TEN,0,23.25,39.5,7.0,0,2026_02_PHI_TEN,8.44532912715977,9.0,5.0,15.0,0.584,0.417,0.2545,0.1065,2.0617139603157986,2.464356116578952,1,1,2026,2,16,10
00-0040200,A.Borregales,NE,PIT,1,23.5,41.5,5.5,0,2026_02_PIT_NE,8.375490751786337,8.0,4.0,14.0,0.5255,0.357,0.207,0.0715,1.8100110294271332,2.59753580051019,1,1,2026,2,17,22
00-0039409,C.Little,JAX,DEN,0,21.5,45.5,-2.5,0,2026_02_JAX_DEN,8.178965075170948,8.0,5.0,14.0,0.5585,0.39175,0.2255,0.08425,1.9850716957816545,2.3190272422936853,1,1,2026,2,18,19
00-0025565,N.Folk,ATL,CAR,1,20.5,43.5,-2.5,0,2026_02_CAR_ATL,8.133198023949696,8.0,4.0,14.0,0.56125,0.383,0.23125,0.09125,2.097900264148916,1.9788411991452233,1,1,2026,2,19,16
00-0039404,W.Reichard,MIN,CHI,0,22.0,48.5,-4.5,0,2026_02_MIN_CHI,8.102476454168132,8.0,4.0,14.0,0.53375,0.36975,0.2145,0.07375,1.9299262552818375,2.2476772113948837,1,1,2026,2,20,20
00-0038567,C.Ryland,ARI,SEA,1,18.5,40.5,-3.5,0,2026_02_SEA_ARI,7.993522380832721,7.0,4.0,13.0,0.4915,0.306,0.1705,0.06175,1.9333493586218695,1.8575308874048007,1,1,2026,2,21,28
00-0035269,M.Gay,LV,LAC,0,18.5,43.5,-6.5,0,2026_02_LV_LAC,7.966431639354728,8.0,4.0,14.0,0.51925,0.33925,0.1975,0.0715,1.9630053188037662,1.7339693439717188,1,1,2026,2,22,22
00-0039576,S.Shrader,IND,KC,0,20.0,46.5,-6.5,0,2026_02_IND_KC,7.933809061832058,8.0,4.0,14.0,0.539,0.352,0.209,0.07275,1.9838335668278149,1.9511948548152684,1,1,2026,2,23,21
00-0041145,D.Zvada,NYG,LA,0,20.75,48.5,-7.0,0,2026_02_NYG_LA,7.706306078266006,7.0,4.0,13.0,0.495,0.329,0.1875,0.06575,1.8434817593421693,2.1227910457680843,1,1,2026,2,24,25
00-0041182,D.Stevens,WAS,DAL,0,23.5,50.5,-3.5,0,2026_02_WAS_DAL,7.684018249406411,8.0,5.0,14.0,0.57575,0.412,0.2465,0.09125,1.9850918106516684,2.33584863551106,1,1,2026,2,25,16
00-0038428,A.Szmyt,CLE,TB,0,16.5,41.5,-8.5,0,2026_02_CLE_TB,7.383834584817833,8.0,4.0,13.099999999999909,0.52125,0.33825,0.20025,0.06875,2.001165401396748,1.672218076288401,1,1,2026,2,26,24
00-0031136,C.Boswell,PIT,NE,0,18.0,41.5,-5.5,0,2026_02_PIT_NE,7.228767499348824,8.0,4.0,13.0,0.50025,0.32075,0.177,0.063,1.9314851002722413,1.7327218825238935,1,1,2026,2,27,26
00-0035192,J.Slye,TEN,PHI,1,16.25,39.5,-7.0,0,2026_02_PHI_TEN,7.115965109439523,7.0,4.0,13.0,0.49525,0.31125,0.17725,0.06275,1.921893459908127,1.7620260601683957,1,1,2026,2,28,27
00-0034161,D.Carlson,NO,BAL,0,19.0,46.5,-8.5,0,2026_02_NO_BAL,6.989629946479221,7.0,4.0,13.0,0.48625,0.31175,0.16725,0.05525,1.8202349743533277,1.8394354225800515,1,1,2026,2,29,29
00-0036816,R.Patterson,MIA,SF,0,15.5,44.5,-13.5,0,2026_02_MIA_SF,6.6154734761395435,6.0,3.0,12.0,0.397,0.224,0.1165,0.038,1.6521568684520047,1.5262481243968335,1,1,2026,2,30,30
