rank by,rho,mae,lift_r2,share_r2,ceiling_r2,lift_r3,share_r3
ridge (the board),0.17607038235707168,,0.44154846335697395,0.18096511498345613,0.09319148936170213,0.6405122143420017,0.16864222684673208
compound E[y],0.1479698374884838,3.494144086915222,0.36211583924349877,0.14841028771297493,0.08813238770685579,0.5207959022852641,0.13712178897988062
compound P(y>=15),0.14416376578559165,,0.355354609929078,0.14563925182030898,0.08903073286052009,0.5051930654058313,0.1330136750398881
kicker career mean,0.07108503582362348,,0.16133569739952722,0.06612214842482113,0.0848936170212766,0.28774625689519306,0.07576150531253824
implied total only,0.14258186916356913,,0.36204491725768323,0.14838122090291203,0.08718676122931443,0.4934200157604413,0.12991391633971194
constant 8.0,,,-0.015401891252955052,-0.006312342251999542,0.08085106382978723,0.007628053585500434,0.0020084112595518937
